mu_N	mu_S	rows	other_signal_fraction	other_signal_rows	focal_multiplier	method	replicates	rejections	rejection_rate	ci_low	ci_high	omega_ge5
8.0	8.0	1	0.5	0	1	Legacy empirical	1000	0	0.0	0.0	0.003682083896865671	0.0
8.0	8.0	1	0.5	0	1	Frozen empirical	1000	47	0.047	0.034735062266795964	0.062012630693305135	0.006
8.0	8.0	1	0.5	0	1	Independent null	1000	43	0.043	0.0312911704560926	0.05748625796197233	0.004
8.0	8.0	1	0.5	0	4	Uncalibrated	1000	902	0.902	0.8818715455687639	0.9197224945489949	0.339
8.0	8.0	1	0.5	0	4	Legacy empirical	1000	0	0.0	0.0	0.003682083896865671	0.0
8.0	8.0	1	0.5	0	4	Frozen empirical	1000	902	0.902	0.8818715455687639	0.9197224945489949	0.339
8.0	8.0	1	0.5	0	4	Independent null	1000	905	0.905	0.8851151555955479	0.922459792918345	0.339
8.0	8.0	1	1.0	0	1	Uncalibrated	1000	47	0.047	0.034735062266795964	0.062012630693305135	0.006
8.0	8.0	1	1.0	0	1	Legacy empirical	1000	0	0.0	0.0	0.003682083896865671	0.0
8.0	8.0	1	1.0	0	1	Frozen empirical	1000	47	0.047	0.034735062266795964	0.062012630693305135	0.006
8.0	8.0	1	1.0	0	1	Independent null	1000	43	0.043	0.0312911704560926	0.05748625796197233	0.004
8.0	8.0	1	1.0	0	4	Uncalibrated	1000	902	0.902	0.8818715455687639	0.9197224945489949	0.339
8.0	8.0	1	1.0	0	4	Legacy empirical	1000	0	0.0	0.0	0.003682083896865671	0.0
8.0	8.0	1	1.0	0	4	Frozen empirical	1000	902	0.902	0.8818715455687639	0.9197224945489949	0.339
8.0	8.0	1	1.0	0	4	Independent null	1000	905	0.905	0.8851151555955479	0.922459792918345	0.339
8.0	8.0	4	0.0	0	1	Uncalibrated	1000	47	0.047	0.034735062266795964	0.062012630693305135	0.006
8.0	8.0	4	0.0	0	1	Legacy empirical	1000	50	0.05	0.0373353976046618	0.06539048791549364	0.0
8.0	8.0	4	0.0	0	1	Frozen empirical	1000	50	0.05	0.0373353976046618	0.06539048791549364	0.0
8.0	8.0	4	0.0	0	1	Independent null	1000	43	0.043	0.0312911704560926	0.05748625796197233	0.004
8.0	8.0	4	0.0	0	4	Uncalibrated	1000	902	0.902	0.8818715455687639	0.9197224945489949	0.339
8.0	8.0	4	0.0	0	4	Legacy empirical	1000	790	0.79	0.7634190151421867	0.8148611536314941	0.137
8.0	8.0	4	0.0	0	4	Frozen empirical	1000	790	0.79	0.7634190151421867	0.8148611536314941	0.137
8.0	8.0	4	0.0	0	4	Independent null	1000	905	0.905	0.8851151555955479	0.922459792918345	0.339
8.0	8.0	4	0.5	2	1	Uncalibrated	1000	47	0.047	0.034735062266795964	0.062012630693305135	0.006
8.0	8.0	4	0.5	2	1	Legacy empirical	1000	3	0.003	0.0006190999316495713	0.008742023238478303	0.0
8.0	8.0	4	0.5	2	1	Frozen empirical	1000	3	0.003	0.0006190999316495713	0.008742023238478303	0.0
8.0	8.0	4	0.5	2	1	Independent null	1000	43	0.043	0.0312911704560926	0.05748625796197233	0.004
8.0	8.0	4	0.5	2	4	Uncalibrated	1000	902	0.902	0.8818715455687639	0.9197224945489949	0.339
8.0	8.0	4	0.5	2	4	Legacy empirical	1000	204	0.204	0.1794250543640791	0.2303308317601554	0.0
8.0	8.0	4	0.5	2	4	Frozen empirical	1000	204	0.204	0.1794250543640791	0.2303308317601554	0.0
8.0	8.0	4	0.5	2	4	Independent null	1000	905	0.905	0.8851151555955479	0.922459792918345	0.339
8.0	8.0	4	1.0	3	1	Uncalibrated	1000	47	0.047	0.034735062266795964	0.062012630693305135	0.006
8.0	8.0	4	1.0	3	1	Legacy empirical	1000	0	0.0	0.0	0.003682083896865671	0.0
8.0	8.0	4	1.0	3	1	Frozen empirical	1000	0	0.0	0.0	0.003682083896865671	0.0
8.0	8.0	4	1.0	3	1	Independent null	1000	43	0.043	0.0312911704560926	0.05748625796197233	0.004
8.0	8.0	4	1.0	3	4	Uncalibrated	1000	902	0.902	0.8818715455687639	0.9197224945489949	0.339
8.0	8.0	4	1.0	3	4	Legacy empirical	1000	10	0.01	0.004805510691049308	0.01831324305511245	0.0
8.0	8.0	4	1.0	3	4	Frozen empirical	1000	10	0.01	0.004805510691049308	0.01831324305511245	0.0
8.0	8.0	4	1.0	3	4	Independent null	1000	905	0.905	0.8851151555955479	0.922459792918345	0.339
8.0	8.0	32	0.0	0	1	Uncalibrated	1000	47	0.047	0.034735062266795964	0.062012630693305135	0.006
8.0	8.0	32	0.0	0	1	Legacy empirical	1000	49	0.049	0.036467059172047823	0.06426605314016964	0.0
8.0	8.0	32	0.0	0	1	Frozen empirical	1000	49	0.049	0.036467059172047823	0.06426605314016964	0.0
8.0	8.0	32	0.0	0	1	Independent null	1000	43	0.043	0.0312911704560926	0.05748625796197233	0.004
8.0	8.0	32	0.0	0	4	Uncalibrated	1000	902	0.902	0.8818715455687639	0.9197224945489949	0.339
8.0	8.0	32	0.0	0	4	Legacy empirical	1000	935	0.935	0.917898930078629	0.949479690310382	0.273
8.0	8.0	32	0.0	0	4	Frozen empirical	1000	935	0.935	0.917898930078629	0.949479690310382	0.273
8.0	8.0	32	0.0	0	4	Independent null	1000	905	0.905	0.8851151555955479	0.922459792918345	0.339
8.0	8.0	32	0.5	16	1	Uncalibrated	1000	47	0.047	0.034735062266795964	0.062012630693305135	0.006
8.0	8.0	32	0.5	16	1	Legacy empirical	1000	23	0.023	0.014634582325176757	0.03431233761285437	0.0
8.0	8.0	32	0.5	16	1	Frozen empirical	1000	23	0.023	0.014634582325176757	0.03431233761285437	0.0
8.0	8.0	32	0.5	16	1	Independent null	1000	43	0.043	0.0312911704560926	0.05748625796197233	0.004
8.0	8.0	32	0.5	16	4	Uncalibrated	1000	902	0.902	0.8818715455687639	0.9197224945489949	0.339
8.0	8.0	32	0.5	16	4	Legacy empirical	1000	476	0.476	0.44465564092897447	0.5074860323897051	0.133
8.0	8.0	32	0.5	16	4	Frozen empirical	1000	476	0.476	0.44465564092897447	0.5074860323897051	0.133
8.0	8.0	32	0.5	16	4	Independent null	1000	905	0.905	0.8851151555955479	0.922459792918345	0.339
8.0	8.0	32	1.0	31	1	Uncalibrated	1000	47	0.047	0.034735062266795964	0.062012630693305135	0.006
8.0	8.0	32	1.0	31	1	Legacy empirical	1000	0	0.0	0.0	0.003682083896865671	0.0
8.0	8.0	32	1.0	31	1	Frozen empirical	1000	0	0.0	0.0	0.003682083896865671	0.0
8.0	8.0	32	1.0	31	1	Independent null	1000	43	0.043	0.0312911704560926	0.05748625796197233	0.004
8.0	8.0	32	1.0	31	4	Uncalibrated	1000	902	0.902	0.8818715455687639	0.9197224945489949	0.339
8.0	8.0	32	1.0	31	4	Legacy empirical	1000	2	0.002	0.00024230111687723185	0.007205838911457497	0.0
8.0	8.0	32	1.0	31	4	Frozen empirical	1000	2	0.002	0.00024230111687723185	0.007205838911457497	0.0
8.0	8.0	32	1.0	31	4	Independent null	1000	905	0.905	0.8851151555955479	0.922459792918345	0.339
